,sizeSeq1,repNo,angleSeq,mod,trialID,FrameStim,stimLength,n,ExpectedcorrectAnswer_mean,ExpectedcorrectAnswer_raw,ExpectedcorrectAnswer_std,FrameStim_mean,FrameStim_raw,Resp_mean,Resp_raw,Resp_std,absMod_mean,absMod_raw,acc_mean,acc_raw,acc_std,actualcorrectAnswer_mean,actualcorrectAnswer_raw,actualcorrectAnswer_std,angleS_mean,angleS_raw,repNo_mean,repNo_raw,sizeSeq`_mean,sizeSeq`_raw,soundTLoc_mean,soundTLoc_raw,soundTLoc_std,stGap_mean,stGap_raw,stGap_std,stimLength_mean,stimLength_raw,timeafter_mean,timeafter_raw,timeafter_std,timebefore_mean,timebefore_raw,timebefore_std,totalGapTime_mean,totalGapTime_raw,totalGapTime_std,trialDropID_mean,trialDropID_raw,trialDropID_std,trialID_mean,trialID_raw,order
22,1,1,30.0,-1.0,23.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,30.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25092720985,1.250927209854126,0.0,0.696749746799,0.696749746799469,0.0,1.94767689705,1.94767689704895,0.0,,,,23.0,23.0,22.0
23,1,2,20.0,1.0,24.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,20.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850697219372,0.8506972193717957,0.0,1.09747600555,1.097476005554199,0.0,1.94817316532,1.94817316532135,0.0,,,,24.0,24.0,23.0
24,1,2,40.0,1.0,25.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,40.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850817501545,0.8508175015449524,0.0,1.09767091274,1.097670912742615,0.0,1.94848847389,1.948488473892212,0.0,,,,25.0,25.0,24.0
25,1,2,80.0,1.0,26.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,80.0,80.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25086653233,1.250866532325745,0.0,0.697164058685,0.6971640586853027,0.0,1.94803059101,1.948030591011047,0.0,2.0,2.0,0.0,26.0,26.0,25.0
26,1,1,60.0,1.0,27.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,60.0,60.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.984100103378,0.9841001033782959,0.0,0.964203953743,0.964203953742981,0.0,1.94830405712,1.948304057121277,0.0,,,,27.0,27.0,26.0
27,1,1,50.0,1.0,28.0,67.0,2.0,1.0,0.0,0.0,0.0,67.0,67.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,50.0,50.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.850562632084,0.8505626320838928,0.0,1.09761929512,1.097619295120239,0.0,1.94818198681,1.948181986808777,0.0,,,,28.0,28.0,27.0
28,1,2,50.0,1.0,29.0,43.0,2.0,1.0,0.0,0.0,0.0,43.0,43.0,-1.0,-1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,50.0,50.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,1.25090050697,1.250900506973267,0.0,0.697200298309,0.6972002983093262,0.0,1.94810080528,1.948100805282593,0.0,,,,29.0,29.0,28.0
29,1,1,0.0,1.0,30.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,1.0,1.0,,,,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717174649239,0.7171746492385864,0.0,1.230681777,1.230681777000427,0.0,1.94785654545,1.947856545448303,0.0,,,,30.0,30.0,29.0
30,1,1,30.0,-1.0,31.0,75.0,2.0,1.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,30.0,30.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.717198073864,0.7171980738639832,0.0,1.23119449615,1.231194496154785,0.0,1.94839262962,1.948392629623413,0.0,,,,31.0,31.0,30.0
31,1,2,40.0,-1.0,32.0,59.0,2.0,1.0,0.0,0.0,0.0,59.0,59.0,-1.0,-1.0,0.0,-1.0,-1.0,,,,1.0,1.0,0.0,40.0,40.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,122.0,122.0,0.0,2.0,2.0,0.983984231949,0.9839842319488525,0.0,0.96423214674,0.9642321467399597,0.0,1.94821631908,1.948216319084167,0.0,,,,32.0,32.0,31.0
